rank,russian_verb,transliteration,english_verb,russian_sentence,sentence_transliteration,english_sentence,category
618,предупреждать,preduprezhat',to warn,Врач предупреждает о побочных эффектах.,Vrach preduprezhdaet o pobochnykh effektakh.,The doctor warns about side effects.,communication
619,угрожать,ugrozhat',to threaten,Наводнение угрожает жителям деревни.,Navodnenie ugrozhaet zhitelyam derevni.,The flood threatens the village residents.,action
620,защищать,zashchishchat',to protect/defend,Адвокат защищает права своего клиента.,Advokat zashchishchaet prava svoyego klienta.,The lawyer defends the rights of his client.,social
621,нападать,napadat',to attack,Волки нападают на стадо овец.,Volki napadayut na stado ovets.,Wolves attack the flock of sheep.,action
622,спасать,spasat',to save/rescue,Пожарные спасают людей из горящего дома.,Pozharnye spasayut lyudey iz goryashchego doma.,Firefighters rescue people from the burning house.,action
623,рисковать,riskovat',to risk,Не стоит рисковать здоровьем ради денег.,Ne stoit riskovat' zdorov'yem radi deneg.,It's not worth risking health for money.,action
624,подметать,podmetat',to sweep,Дворник подметает двор каждое утро.,Dvornik podmetaet dvor kazhdoe utro.,The janitor sweeps the yard every morning.,action
625,пылесосить,pylesosit',to vacuum,Я пылесошу ковёр в гостиной.,Ya pylesoshu kovyor v gostinoy.,I vacuum the carpet in the living room.,action
626,стирать,stirat',to do laundry,Мы стираем одежду в стиральной машине.,My stiraem odezhdu v stiral'noy mashine.,We do laundry in the washing machine.,action
627,полоскать,poloskat',to rinse,Она полощет бельё в чистой воде.,Ona poloshchet bel'yo v chistoy vode.,She rinses the laundry in clean water.,action
628,протирать,protirat',to wipe,Официант протирает столы перед открытием.,Ofitsiant protiraet stoly pered otkrytiem.,The waiter wipes the tables before opening.,action
629,скрести,skresti,to scrape,Нужно скрести лёд с лобового стекла.,Nuzhno skresti lyod s lobovogo stekla.,You need to scrape ice from the windshield.,action
630,полировать,polirovat',to polish,Мастер полирует поверхность стола.,Master poliruet poverkhnost' stola.,The craftsman polishes the surface of the table.,action
631,смазывать,smazyvat',to lubricate/grease,Механик смазывает детали мотора.,Mekhanik smazyvaet detali motora.,The mechanic lubricates the engine parts.,action
632,затачивать,zatachivat',to sharpen,Повар затачивает нож перед готовкой.,Povar zatachivaet nozh pered gotovkoy.,The chef sharpens the knife before cooking.,action
633,сверлить,sverlit',to drill,Рабочий сверлит отверстие в стене.,Rabochiy sverlit otverstie v stene.,The worker drills a hole in the wall.,action
634,пилить,pilit',to saw,Плотник пилит доски для забора.,Plotnik pilit doski dlya zabora.,The carpenter saws boards for the fence.,action
635,строгать,strogat',to plane wood,Мастер строгает доску рубанком.,Master strogaet dosku rubankom.,The craftsman planes the board with a plane.,action
636,забивать,zabivat',to hammer in,Он забивает гвоздь в стену молотком.,On zabivaet gvozd' v stenu molotkom.,He hammers a nail into the wall.,action
637,привинчивать,privinchivat',to screw in,Мастер привинчивает полку к стене.,Master privinchivaet polku k stene.,The craftsman screws the shelf to the wall.,action
638,паять,payat',to solder,Инженер паяет микросхему на плате.,Inzhener payaet mikroskhemu na plate.,The engineer solders a chip on the board.,action
639,сваривать,svarivat',to weld,Рабочий сваривает металлические трубы.,Rabochiy svarivaet metallicheskie truby.,The worker welds metal pipes.,action
640,штукатурить,shtukaturit',to plaster,Строитель штукатурит стены в новом доме.,Stroitel' shtukaturit steny v novom dome.,The builder plasters the walls in the new house.,action
641,белить,belit',to whitewash,Весной мы белим деревья в саду.,Vesnoy my belim derev'ya v sadu.,In spring we whitewash the trees in the garden.,action
642,лакировать,lakirovat',to varnish,Она лакирует деревянный стол.,Ona lakiruet derevyannyy stol.,She varnishes the wooden table.,action
643,обивать,obivat',to upholster,Мастер обивает диван новой тканью.,Master obivaet divan novoy tkan'yu.,The craftsman upholsters the sofa with new fabric.,action
644,кроить,kroit',to cut out fabric,Портниха кроит ткань по выкройке.,Portnikha kroit tkan' po vykroyke.,The seamstress cuts the fabric by the pattern.,creation
645,вышивать,vyshivat',to embroider,Бабушка вышивает цветы на салфетке.,Babushka vyshivaet tsvety na salfetke.,Grandma embroiders flowers on the napkin.,creation
646,плести,plesti,to braid/weave,Девочка плетёт косу перед школой.,Devochka pletyot kosu pered shkoloy.,The girl braids her hair before school.,creation
647,лепить,lepit',to sculpt/mold,Дети лепят фигурки из пластилина.,Deti lepyat figurki iz plastilina.,Children mold figures from plasticine.,creation
648,выпекать,vypekat',to bake (batch),Пекарь выпекает хлеб каждое утро.,Pekar' vypekaet khleb kazhdoe utro.,The baker bakes bread every morning.,creation
649,замешивать,zameshivat',to knead,Повар замешивает тесто для пирога.,Povar zameshivaet testo dlya piroga.,The cook kneads dough for the pie.,action
650,взбивать,vzbivat',to whip/beat,Она взбивает сливки для торта.,Ona vzbivaet slivki dlya torta.,She whips cream for the cake.,action
651,натирать,natirat',to grate,Мама натирает сыр на тёрке.,Mama natiraet syr na tyorke.,Mom grates cheese on the grater.,action
652,нарезать,narezat',to slice,Повар нарезает овощи для салата.,Povar narezaet ovoshchi dlya salata.,The cook slices vegetables for the salad.,action
653,очищать,ochishchat',to peel/purify,Она очищает картофель для супа.,Ona ochishchaet kartofel' dlya supa.,She peels potatoes for the soup.,action
654,процеживать,protsedzhivat',to strain,Нужно процеживать бульон через марлю.,Nuzhno protsedzhivat' bul'on cherez marlyu.,You need to strain the broth through cheesecloth.,action
